"","V1","V2"
"1",0.000195163747143945,9.52380952380952e-05
"2",0.000716817048192254,0.000833557983614394
"3",0.000744299457501705,0.00112577301128169
"4",0.00146391147882693,0.00156430091792155
"5",0.00194402225215953,0.00219032164297302
"6",0.00285249804439398,0.00289194351893582
"7",0.00360756282412388,0.00389502770999937
"8",0.00450428156596222,0.00487445837109304
"9",0.00509406309171462,0.00605597585666744
"10",0.00640731435831205,0.00745098563633645
"11",0.00735543348787499,0.00841805829732781
"12",0.00849294417328479,0.00987490882813613
"13",0.0100256832824472,0.0114345822474302
"14",0.0119217755510509,0.0131228508748483
"15",0.0139216158650194,0.0139808479755171
"16",0.0161562310264659,0.0159951702837388
"17",0.0183009016772239,0.0181279077660139
"18",0.0201498554530071,0.0198945187834107
"19",0.0214978420340823,0.0220489309763038
"20",0.0234631980230823,0.0237786457808343
"21",0.0254067547644137,0.0252332602423925
"22",0.0285447596382083,0.028698197728934
"23",0.0304983101370021,0.0309439130584516
"24",0.0330310089999856,0.0325712555202292
"25",0.0359272149592352,0.0350609566515046
"26",0.038456719311224,0.0373646714197817
"27",0.0416135862354124,0.0390946703708968
"28",0.0435180823195877,0.0413972571004375
"29",0.0457296927366184,0.0438591996482048
"30",0.0482551915018703,0.0469271733072723
