"","V1","V2","V3"
"1",0.00560469872768686,0.00815564479380269,0
"2",0.0160153834336864,0.013852675013284,0.0107637009432572
"3",0.0264649777254741,0.0210854508495742,0.0220728309480562
"4",0.0357853354761656,0.0262184260884277,0.0295653768822911
"5",0.0451205660301583,0.0341866098705813,0.0417098676659935
"6",0.0539182318098038,0.0451913330371231,0.0501708589847264
"7",0.064676750489153,0.0542192973574737,0.0605038920257082
"8",0.0754875885756715,0.0598127890575821,0.0708447376653565
"9",0.0867595539552711,0.0673620897045257,0.0797024701622025
"10",0.0943586811568227,0.0747861614980066,0.0886698594220183
"11",0.10467411113746,0.084437748600291,0.0983539277160279
"12",0.113881681022289,0.09147002730853,0.10448117099965
"13",0.123563843360124,0.098810390332164,0.113920604884471
"14",0.13413632778316,0.105831416668321,0.122757310438917
"15",0.14479256162899,0.11393415701351,0.128952864548902
"16",0.157277899318125,0.119733987882398,0.136217283436655
"17",0.167403303453023,0.128836817546414,0.144565414668816
"18",0.176151645657407,0.136632446178537,0.153253822492595
"19",0.187528234822823,0.144113517388451,0.161191479511108
"20",0.198296488908412,0.150886846912909,0.171023106508731
"21",0.205788925704149,0.158392321765055,0.177875917900468
"22",0.215724405101776,0.166543299053478,0.185827483798457
"23",0.224783217685769,0.174537015708343,0.196237472829029
"24",0.234303758644393,0.182164002132322,0.204472078557206
"25",0.243701042850526,0.189287815428953,0.215132797737585
"26",0.252709821533468,0.197527088240301,0.221117837192986
"27",0.263237571260617,0.205397040102979,0.227638232479123
"28",0.273440386388841,0.214376092303339,0.233600911648935
"29",0.284074844453656,0.221473311807489,0.241983805373515
"30",0.296531146704416,0.232259603424937,0.247832397086286
